
2025/04/01 (01:09:04) | ===> btop++ v.1.4.0
2025/04/01 (01:09:04) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/01 (01:09:34) | ===> btop++ v.1.4.0
2025/04/01 (01:09:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/04/01 (01:10:50) | ===> btop++ v.1.4.0
2025/04/01 (01:10:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (01:10:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/01 (01:10:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/01 (02:51:50) | ===> btop++ v.1.4.0
2025/04/01 (02:51:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/01 (02:51:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/01 (02:51:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (11:24:08) | ===> btop++ v.1.4.0
2025/04/02 (11:24:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/02 (11:24:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/02 (11:24:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/02 (13:45:49) | WARNING: Failed to join _runner thread on exit!

2025/04/02 (16:28:51) | ===> btop++ v.1.4.0
2025/04/02 (16:28:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/02 (16:28:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/02 (16:28:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (17:42:22) | ===> btop++ v.1.4.0
2025/04/02 (17:42:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/02 (17:42:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/02 (17:42:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (19:58:56) | ===> btop++ v.1.4.0
2025/04/02 (19:58:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/02 (19:58:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/02 (19:58:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/02 (20:03:30) | ERROR: Stall in Runner thread, restarting!

2025/04/03 (19:37:08) | ===> btop++ v.1.4.0
2025/04/03 (19:37:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (19:37:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (19:37:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/03 (21:02:49) | ===> btop++ v.1.4.0
2025/04/03 (21:02:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/03 (21:02:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/04/03 (21:02:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/03 (21:03:07) | WARNING: Failed to join _runner thread on exit!
